Company,Week,Demographic,Book,Units Sold,Revenue,Profit
Waterstones,2,Teen (13-19),Joyride,128,1216.0,510.71999999999997
Waterstones,2,Teen (13-19),Stranglehold,94,893.0,375.06
Waterstones,2,Young Adult (20-35),The Girl Next Door,81,769.5,323.19
Waterstones,2,Young Adult (20-35),Off Season,98,931.0,391.02
Waterstones,2,Young Adult (20-35),Offspring,175,1662.5,698.25
Waterstones,2,Young Adult (20-35),Red,172,1634.0,686.28
Waterstones,2,Young Adult (20-35),The Lost,51,484.5,203.48999999999998
Waterstones,2,Young Adult (20-35),Ladies Night,39,370.5,155.60999999999999
Waterstones,2,Young Adult (20-35),Joyride,198,1881.0,790.02
Waterstones,2,Young Adult (20-35),Stranglehold,105,997.5,418.95
Waterstones,2,Adult (36-55),The Girl Next Door,140,1330.0,558.6
Waterstones,2,Adult (36-55),Off Season,154,1463.0,614.4599999999999
Waterstones,2,Adult (36-55),Offspring,120,1140.0,478.79999999999995
Waterstones,2,Adult (36-55),Red,99,940.5,395.01
Waterstones,2,Adult (36-55),The Lost,31,294.5,123.69
Waterstones,2,Adult (36-55),Ladies Night,127,1206.5,506.72999999999996
Waterstones,2,Adult (36-55),Joyride,50,475.0,199.5
Waterstones,2,Adult (36-55),Stranglehold,148,1406.0,590.52
Waterstones,2,Older Adult (56+),The Girl Next Door,135,1282.5,538.65
Waterstones,2,Older Adult (56+),Off Season,111,1054.5,442.89
Waterstones,2,Older Adult (56+),Offspring,122,1159.0,486.78
Waterstones,2,Older Adult (56+),Red,89,845.5,355.11
Waterstones,2,Older Adult (56+),The Lost,187,1776.5,746.13
Waterstones,2,Older Adult (56+),Ladies Night,61,579.5,243.39
Waterstones,2,Older Adult (56+),Joyride,119,1130.5,474.81
Waterstones,2,Older Adult (56+),Stranglehold,143,1358.5,570.5699999999999
Waterstones,3,Teen (13-19),The Girl Next Door,126,1197.0,502.74
Waterstones,3,Teen (13-19),Off Season,127,1206.5,506.72999999999996
Waterstones,3,Teen (13-19),Offspring,178,1691.0,710.22
Waterstones,3,Teen (13-19),Red,83,788.5,331.17
Waterstones,3,Teen (13-19),The Lost,153,1453.5,610.47
Waterstones,3,Teen (13-19),Ladies Night,141,1339.5,562.59
Waterstones,3,Teen (13-19),Joyride,27,256.5,107.72999999999999
Waterstones,3,Teen (13-19),Stranglehold,73,693.5,291.27
Waterstones,3,Young Adult (20-35),The Girl Next Door,85,807.5,339.15
Waterstones,3,Young Adult (20-35),Off Season,61,579.5,243.39
Waterstones,3,Young Adult (20-35),Offspring,82,779.0,327.18
Waterstones,3,Young Adult (20-35),Red,109,1035.5,434.90999999999997
Waterstones,3,Young Adult (20-35),The Lost,181,1719.5,722.1899999999999
Waterstones,3,Young Adult (20-35),Ladies Night,59,560.5,235.41
Waterstones,3,Young Adult (20-35),Joyride,123,1168.5,490.77
Waterstones,3,Young Adult (20-35),Stranglehold,70,665.0,279.3
Waterstones,3,Adult (36-55),The Girl Next Door,118,1121.0,470.82
Waterstones,3,Adult (36-55),Off Season,85,807.5,339.15
Waterstones,3,Adult (36-55),Offspring,74,703.0,295.26
Waterstones,3,Adult (36-55),Red,36,342.0,143.64
Waterstones,3,Adult (36-55),The Lost,198,1881.0,790.02
Waterstones,3,Adult (36-55),Ladies Night,116,1102.0,462.84
Waterstones,3,Adult (36-55),Joyride,104,988.0,414.96
Waterstones,3,Adult (36-55),Stranglehold,101,959.5,402.99
Waterstones,3,Older Adult (56+),The Girl Next Door,173,1643.5,690.27
Waterstones,3,Older Adult (56+),Off Season,22,209.0,87.78
Waterstones,3,Older Adult (56+),Offspring,68,646.0,271.32
Waterstones,3,Older Adult (56+),Red,87,826.5,347.13
Waterstones,3,Older Adult (56+),The Lost,106,1007.0,422.94
Waterstones,3,Older Adult (56+),Ladies Night,88,836.0,351.12
Waterstones,3,Older Adult (56+),Joyride,113,1073.5,450.87
Waterstones,3,Older Adult (56+),Stranglehold,164,1558.0,654.36
Waterstones,4,Teen (13-19),The Girl Next Door,102,969.0,406.97999999999996
Waterstones,4,Teen (13-19),Off Season,199,1890.5,794.01
Waterstones,4,Teen (13-19),Offspring,182,1729.0,726.18
Waterstones,4,Teen (13-19),Red,189,1795.5,754.11
Waterstones,4,Teen (13-19),The Lost,49,465.5,195.51
Waterstones,4,Teen (13-19),Ladies Night,76,722.0,303.24
Waterstones,4,Teen (13-19),Joyride,189,1795.5,754.11
Waterstones,4,Teen (13-19),Stranglehold,163,1548.5,650.37
Waterstones,4,Young Adult (20-35),The Girl Next Door,24,228.0,95.75999999999999
Waterstones,4,Young Adult (20-35),Off Season,174,1653.0,694.26
Waterstones,4,Young Adult (20-35),Offspring,123,1168.5,490.77
Waterstones,4,Young Adult (20-35),Red,154,1463.0,614.4599999999999
Waterstones,4,Young Adult (20-35),The Lost,186,1767.0,742.14
Waterstones,4,Young Adult (20-35),Ladies Night,91,864.5,363.09
Waterstones,4,Young Adult (20-35),Joyride,35,332.5,139.65
Waterstones,4,Young Adult (20-35),Stranglehold,23,218.5,91.77
Waterstones,4,Adult (36-55),The Girl Next Door,121,1149.5,482.78999999999996
Waterstones,4,Adult (36-55),Off Season,137,1301.5,546.63
Waterstones,4,Adult (36-55),Offspring,80,760.0,319.2
Waterstones,4,Adult (36-55),Red,85,807.5,339.15
Waterstones,4,Adult (36-55),The Lost,75,712.5,299.25
Waterstones,4,Adult (36-55),Ladies Night,145,1377.5,578.55
Waterstones,4,Adult (36-55),Joyride,167,1586.5,666.3299999999999
Waterstones,4,Adult (36-55),Stranglehold,198,1881.0,790.02
Waterstones,4,Older Adult (56+),The Girl Next Door,95,902.5,379.05
Waterstones,4,Older Adult (56+),Off Season,127,1206.5,506.72999999999996
Waterstones,4,Older Adult (56+),Offspring,136,1292.0,542.64
Waterstones,4,Older Adult (56+),Red,70,665.0,279.3
Waterstones,4,Older Adult (56+),The Lost,184,1748.0,734.16
Waterstones,4,Older Adult (56+),Ladies Night,170,1615.0,678.3
Waterstones,4,Older Adult (56+),Joyride,86,817.0,343.14
Waterstones,4,Older Adult (56+),Stranglehold,140,1330.0,558.6
Waterstones,5,Teen (13-19),The Girl Next Door,101,959.5,402.99
Waterstones,5,Teen (13-19),Off Season,42,399.0,167.57999999999998
Waterstones,5,Teen (13-19),Offspring,82,779.0,327.18
Waterstones,5,Teen (13-19),Red,41,389.5,163.59
Waterstones,5,Teen (13-19),The Lost,28,266.0,111.72
Waterstones,5,Teen (13-19),Ladies Night,195,1852.5,778.05
Waterstones,5,Teen (13-19),Joyride,106,1007.0,422.94
Waterstones,5,Teen (13-19),Stranglehold,171,1624.5,682.29
Waterstones,5,Young Adult (20-35),The Girl Next Door,193,1833.5,770.0699999999999
Waterstones,5,Young Adult (20-35),Off Season,123,1168.5,490.77
Waterstones,5,Young Adult (20-35),Offspring,96,912.0,383.03999999999996
Waterstones,5,Young Adult (20-35),Red,189,1795.5,754.11
Waterstones,5,Young Adult (20-35),The Lost,155,1472.5,618.4499999999999
Waterstones,5,Young Adult (20-35),Ladies Night,161,1529.5,642.39
Waterstones,5,Young Adult (20-35),Joyride,101,959.5,402.99
Waterstones,5,Young Adult (20-35),Stranglehold,118,1121.0,470.82
Waterstones,5,Adult (36-55),The Girl Next Door,79,750.5,315.21
Waterstones,5,Adult (36-55),Off Season,58,551.0,231.42
Waterstones,5,Adult (36-55),Offspring,100,950.0,399.0
Waterstones,5,Adult (36-55),Red,41,389.5,163.59
Waterstones,5,Adult (36-55),The Lost,78,741.0,311.21999999999997
Waterstones,5,Adult (36-55),Ladies Night,80,760.0,319.2
Waterstones,5,Adult (36-55),Joyride,141,1339.5,562.59
Waterstones,5,Adult (36-55),Stranglehold,188,1786.0,750.12
Waterstones,5,Older Adult (56+),The Girl Next Door,135,1282.5,538.65
Waterstones,5,Older Adult (56+),Off Season,77,731.5,307.22999999999996
Waterstones,5,Older Adult (56+),Offspring,169,1605.5,674.31
Waterstones,5,Older Adult (56+),Red,155,1472.5,618.4499999999999
Waterstones,5,Older Adult (56+),The Lost,33,313.5,131.67
Waterstones,5,Older Adult (56+),Ladies Night,62,589.0,247.38
Waterstones,5,Older Adult (56+),Joyride,126,1197.0,502.74
Waterstones,5,Older Adult (56+),Stranglehold,57,541.5,227.42999999999998
Waterstones,6,Teen (13-19),The Girl Next Door,76,722.0,303.24
Waterstones,6,Teen (13-19),Off Season,105,997.5,418.95
Waterstones,6,Teen (13-19),Offspring,178,1691.0,710.22
Waterstones,6,Teen (13-19),Red,39,370.5,155.60999999999999
Waterstones,6,Teen (13-19),The Lost,48,456.0,191.51999999999998
Waterstones,6,Teen (13-19),Ladies Night,129,1225.5,514.71
Waterstones,6,Teen (13-19),Joyride,110,1045.0,438.9
Waterstones,6,Teen (13-19),Stranglehold,101,959.5,402.99
Waterstones,6,Young Adult (20-35),The Girl Next Door,68,646.0,271.32
Waterstones,6,Young Adult (20-35),Off Season,76,722.0,303.24
Waterstones,6,Young Adult (20-35),Offspring,151,1434.5,602.49
Waterstones,6,Young Adult (20-35),Red,66,627.0,263.34
Waterstones,6,Young Adult (20-35),The Lost,97,921.5,387.03
Waterstones,6,Young Adult (20-35),Ladies Night,139,1320.5,554.61
Waterstones,6,Young Adult (20-35),Joyride,121,1149.5,482.78999999999996
Waterstones,6,Young Adult (20-35),Stranglehold,164,1558.0,654.36
Waterstones,6,Adult (36-55),The Girl Next Door,30,285.0,119.69999999999999
Waterstones,6,Adult (36-55),Off Season,51,484.5,203.48999999999998
Waterstones,6,Adult (36-55),Offspring,55,522.5,219.45
Waterstones,6,Adult (36-55),Red,102,969.0,406.97999999999996
Waterstones,6,Adult (36-55),The Lost,114,1083.0,454.85999999999996
Waterstones,6,Adult (36-55),Ladies Night,30,285.0,119.69999999999999
Waterstones,6,Adult (36-55),Joyride,20,190.0,79.8
Waterstones,6,Adult (36-55),Stranglehold,108,1026.0,430.91999999999996
Waterstones,6,Older Adult (56+),The Girl Next Door,25,237.5,99.75
Waterstones,6,Older Adult (56+),Off Season,87,826.5,347.13
Waterstones,6,Older Adult (56+),Offspring,189,1795.5,754.11
Waterstones,6,Older Adult (56+),Red,48,456.0,191.51999999999998
Waterstones,6,Older Adult (56+),The Lost,113,1073.5,450.87
Waterstones,6,Older Adult (56+),Ladies Night,69,655.5,275.31
Waterstones,6,Older Adult (56+),Joyride,191,1814.5,762.0899999999999
Waterstones,6,Older Adult (56+),Stranglehold,177,1681.5,706.23
Waterstones,7,Teen (13-19),The Girl Next Door,22,209.0,87.78
Waterstones,7,Teen (13-19),Off Season,99,940.5,395.01
Waterstones,7,Teen (13-19),Offspring,56,532.0,223.44
Waterstones,7,Teen (13-19),Red,65,617.5,259.34999999999997
Waterstones,7,Teen (13-19),The Lost,28,266.0,111.72
Waterstones,7,Teen (13-19),Ladies Night,191,1814.5,762.0899999999999
Waterstones,7,Teen (13-19),Joyride,177,1681.5,706.23
Waterstones,7,Teen (13-19),Stranglehold,79,750.5,315.21
Waterstones,7,Young Adult (20-35),The Girl Next Door,100,950.0,399.0
Waterstones,7,Young Adult (20-35),Off Season,88,836.0,351.12
Waterstones,7,Young Adult (20-35),Offspring,133,1263.5,530.67
Waterstones,7,Young Adult (20-35),Red,113,1073.5,450.87
Waterstones,7,Young Adult (20-35),The Lost,59,560.5,235.41
Waterstones,7,Young Adult (20-35),Ladies Night,67,636.5,267.33
Waterstones,7,Young Adult (20-35),Joyride,166,1577.0,662.34
Waterstones,7,Young Adult (20-35),Stranglehold,192,1824.0,766.0799999999999
Waterstones,7,Adult (36-55),The Girl Next Door,161,1529.5,642.39
Waterstones,7,Adult (36-55),Off Season,125,1187.5,498.75
Waterstones,7,Adult (36-55),Offspring,100,950.0,399.0
Waterstones,7,Adult (36-55),Red,35,332.5,139.65
Waterstones,7,Adult (36-55),The Lost,121,1149.5,482.78999999999996
Waterstones,7,Adult (36-55),Ladies Night,197,1871.5,786.03
Waterstones,7,Adult (36-55),Joyride,184,1748.0,734.16
Waterstones,7,Adult (36-55),Stranglehold,53,503.5,211.47
Waterstones,7,Older Adult (56+),The Girl Next Door,178,1691.0,710.22
Waterstones,7,Older Adult (56+),Off Season,92,874.0,367.08
Waterstones,7,Older Adult (56+),Offspring,183,1738.5,730.17
Waterstones,7,Older Adult (56+),Red,90,855.0,359.09999999999997
Waterstones,7,Older Adult (56+),The Lost,96,912.0,383.03999999999996
Waterstones,7,Older Adult (56+),Ladies Night,60,570.0,239.39999999999998
Waterstones,7,Older Adult (56+),Joyride,101,959.5,402.99
Waterstones,7,Older Adult (56+),Stranglehold,183,1738.5,730.17
Waterstones,8,Teen (13-19),The Girl Next Door,162,1539.0,646.38
Waterstones,8,Teen (13-19),Off Season,163,1548.5,650.37
Waterstones,8,Teen (13-19),Offspring,183,1738.5,730.17
Waterstones,8,Teen (13-19),Red,53,503.5,211.47
Waterstones,8,Teen (13-19),The Lost,57,541.5,227.42999999999998
Waterstones,8,Teen (13-19),Ladies Night,54,513.0,215.45999999999998
Waterstones,8,Teen (13-19),Joyride,142,1349.0,566.5799999999999
Waterstones,8,Teen (13-19),Stranglehold,48,456.0,191.51999999999998
Waterstones,8,Young Adult (20-35),The Girl Next Door,135,1282.5,538.65
Waterstones,8,Young Adult (20-35),Off Season,58,551.0,231.42
Waterstones,8,Young Adult (20-35),Offspring,149,1415.5,594.51
Waterstones,8,Young Adult (20-35),Red,47,446.5,187.53
Waterstones,8,Young Adult (20-35),The Lost,136,1292.0,542.64
Waterstones,8,Young Adult (20-35),Ladies Night,125,1187.5,498.75
Waterstones,8,Young Adult (20-35),Joyride,178,1691.0,710.22
Waterstones,8,Young Adult (20-35),Stranglehold,193,1833.5,770.0699999999999
Waterstones,8,Adult (36-55),The Girl Next Door,104,988.0,414.96
Waterstones,8,Adult (36-55),Off Season,61,579.5,243.39
Waterstones,8,Adult (36-55),Offspring,92,874.0,367.08
Waterstones,8,Adult (36-55),Red,41,389.5,163.59
Waterstones,8,Adult (36-55),The Lost,102,969.0,406.97999999999996
Waterstones,8,Adult (36-55),Ladies Night,97,921.5,387.03
Waterstones,8,Adult (36-55),Joyride,60,570.0,239.39999999999998
Waterstones,8,Adult (36-55),Stranglehold,131,1244.5,522.6899999999999
Waterstones,8,Older Adult (56+),The Girl Next Door,54,513.0,215.45999999999998
Waterstones,8,Older Adult (56+),Off Season,174,1653.0,694.26
Waterstones,8,Older Adult (56+),Offspring,91,864.5,363.09
Waterstones,8,Older Adult (56+),Red,49,465.5,195.51
Waterstones,8,Older Adult (56+),The Lost,162,1539.0,646.38
Waterstones,8,Older Adult (56+),Ladies Night,135,1282.5,538.65
Waterstones,8,Older Adult (56+),Joyride,138,1311.0,550.62
Waterstones,8,Older Adult (56+),Stranglehold,197,1871.5,786.03
Waterstones,9,Teen (13-19),The Girl Next Door,46,437.0,183.54
Waterstones,9,Teen (13-19),Off Season,93,883.5,371.07
Waterstones,9,Teen (13-19),Offspring,29,275.5,115.71
Waterstones,9,Teen (13-19),Red,63,598.5,251.37
Waterstones,9,Teen (13-19),The Lost,36,342.0,143.64
Waterstones,9,Teen (13-19),Ladies Night,31,294.5,123.69
Waterstones,9,Teen (13-19),Joyride,169,1605.5,674.31
Waterstones,9,Teen (13-19),Stranglehold,26,247.0,103.74
Waterstones,9,Young Adult (20-35),The Girl Next Door,127,1206.5,506.72999999999996
Waterstones,9,Young Adult (20-35),Off Season,149,1415.5,594.51
Waterstones,9,Young Adult (20-35),Offspring,132,1254.0,526.68
Waterstones,9,Young Adult (20-35),Red,52,494.0,207.48
Waterstones,9,Young Adult (20-35),The Lost,113,1073.5,450.87
Waterstones,9,Young Adult (20-35),Ladies Night,51,484.5,203.48999999999998
Waterstones,9,Young Adult (20-35),Joyride,188,1786.0,750.12
Waterstones,9,Young Adult (20-35),Stranglehold,193,1833.5,770.0699999999999
Waterstones,9,Adult (36-55),The Girl Next Door,27,256.5,107.72999999999999
Waterstones,9,Adult (36-55),Off Season,125,1187.5,498.75
Waterstones,9,Adult (36-55),Offspring,21,199.5,83.78999999999999
Waterstones,9,Adult (36-55),Red,50,475.0,199.5
Waterstones,9,Adult (36-55),The Lost,173,1643.5,690.27
Waterstones,9,Adult (36-55),Ladies Night,170,1615.0,678.3
Waterstones,9,Adult (36-55),Joyride,156,1482.0,622.4399999999999
Waterstones,9,Adult (36-55),Stranglehold,126,1197.0,502.74
Waterstones,9,Older Adult (56+),The Girl Next Door,182,1729.0,726.18
Waterstones,9,Older Adult (56+),Off Season,26,247.0,103.74
Waterstones,9,Older Adult (56+),Offspring,93,883.5,371.07
Waterstones,9,Older Adult (56+),Red,46,437.0,183.54
Waterstones,9,Older Adult (56+),The Lost,150,1425.0,598.5
Waterstones,9,Older Adult (56+),Ladies Night,158,1501.0,630.42
Waterstones,9,Older Adult (56+),Joyride,101,959.5,402.99
Waterstones,9,Older Adult (56+),Stranglehold,63,598.5,251.37
Waterstones,10,Teen (13-19),The Girl Next Door,63,598.5,251.37
Waterstones,10,Teen (13-19),Off Season,58,551.0,231.42
Waterstones,10,Teen (13-19),Offspring,134,1273.0,534.66
Waterstones,10,Teen (13-19),Red,134,1273.0,534.66
Waterstones,10,Teen (13-19),The Lost,106,1007.0,422.94
Waterstones,10,Teen (13-19),Ladies Night,135,1282.5,538.65
Waterstones,10,Teen (13-19),Joyride,73,693.5,291.27
Waterstones,10,Teen (13-19),Stranglehold,146,1387.0,582.54
Waterstones,10,Young Adult (20-35),The Girl Next Door,86,817.0,343.14
Waterstones,10,Young Adult (20-35),Off Season,104,988.0,414.96
Waterstones,10,Young Adult (20-35),Offspring,176,1672.0,702.24
Waterstones,10,Young Adult (20-35),Red,67,636.5,267.33
Waterstones,10,Young Adult (20-35),The Lost,92,874.0,367.08
Waterstones,10,Young Adult (20-35),Ladies Night,82,779.0,327.18
Waterstones,10,Young Adult (20-35),Joyride,70,665.0,279.3
Waterstones,10,Young Adult (20-35),Stranglehold,66,627.0,263.34
Waterstones,10,Adult (36-55),The Girl Next Door,72,684.0,287.28
Waterstones,10,Adult (36-55),Off Season,38,361.0,151.62
Waterstones,10,Adult (36-55),Offspring,193,1833.5,770.0699999999999
Waterstones,10,Adult (36-55),Red,57,541.5,227.42999999999998
Waterstones,10,Adult (36-55),The Lost,104,988.0,414.96
Waterstones,10,Adult (36-55),Ladies Night,89,845.5,355.11
Waterstones,10,Adult (36-55),Joyride,152,1444.0,606.48
Waterstones,10,Adult (36-55),Stranglehold,96,912.0,383.03999999999996
Waterstones,10,Older Adult (56+),The Girl Next Door,151,1434.5,602.49
Waterstones,10,Older Adult (56+),Off Season,116,1102.0,462.84
Waterstones,10,Older Adult (56+),Offspring,56,532.0,223.44
Waterstones,10,Older Adult (56+),Red,36,342.0,143.64
Waterstones,10,Older Adult (56+),The Lost,99,940.5,395.01
Waterstones,10,Older Adult (56+),Ladies Night,25,237.5,99.75
Waterstones,10,Older Adult (56+),Joyride,71,674.5,283.28999999999996
Waterstones,10,Older Adult (56+),Stranglehold,55,522.5,219.45
Waterstones,11,Teen (13-19),The Girl Next Door,78,741.0,311.21999999999997
Waterstones,11,Teen (13-19),Off Season,90,855.0,359.09999999999997
Waterstones,11,Teen (13-19),Offspring,168,1596.0,670.3199999999999
Waterstones,11,Teen (13-19),Red,31,294.5,123.69
Waterstones,11,Teen (13-19),The Lost,191,1814.5,762.0899999999999
Waterstones,11,Teen (13-19),Ladies Night,192,1824.0,766.0799999999999
Waterstones,11,Teen (13-19),Joyride,156,1482.0,622.4399999999999
Waterstones,11,Teen (13-19),Stranglehold,37,351.5,147.63
Waterstones,11,Young Adult (20-35),The Girl Next Door,93,883.5,371.07
Waterstones,11,Young Adult (20-35),Off Season,53,503.5,211.47
Waterstones,11,Young Adult (20-35),Offspring,118,1121.0,470.82
Waterstones,11,Young Adult (20-35),Red,73,693.5,291.27
Waterstones,11,Young Adult (20-35),The Lost,37,351.5,147.63
Waterstones,11,Young Adult (20-35),Ladies Night,80,760.0,319.2
Waterstones,11,Young Adult (20-35),Joyride,66,627.0,263.34
Waterstones,11,Young Adult (20-35),Stranglehold,167,1586.5,666.3299999999999
Waterstones,11,Adult (36-55),The Girl Next Door,47,446.5,187.53
Waterstones,11,Adult (36-55),Off Season,183,1738.5,730.17
Waterstones,11,Adult (36-55),Offspring,183,1738.5,730.17
Waterstones,11,Adult (36-55),Red,112,1064.0,446.88
Waterstones,11,Adult (36-55),The Lost,43,408.5,171.57
Waterstones,11,Adult (36-55),Ladies Night,193,1833.5,770.0699999999999
Waterstones,11,Adult (36-55),Joyride,83,788.5,331.17
Waterstones,11,Adult (36-55),Stranglehold,166,1577.0,662.34
Waterstones,11,Older Adult (56+),The Girl Next Door,41,389.5,163.59
Waterstones,11,Older Adult (56+),Off Season,51,484.5,203.48999999999998
Waterstones,11,Older Adult (56+),Offspring,57,541.5,227.42999999999998
Waterstones,11,Older Adult (56+),Red,38,361.0,151.62
Waterstones,11,Older Adult (56+),The Lost,175,1662.5,698.25
Waterstones,11,Older Adult (56+),Ladies Night,196,1862.0,782.04
Waterstones,11,Older Adult (56+),Joyride,112,1064.0,446.88
Waterstones,11,Older Adult (56+),Stranglehold,175,1662.5,698.25
Waterstones,12,Teen (13-19),The Girl Next Door,170,1615.0,678.3
Waterstones,12,Teen (13-19),Off Season,164,1558.0,654.36
Waterstones,12,Teen (13-19),Offspring,48,456.0,191.51999999999998
Waterstones,12,Teen (13-19),Red,62,589.0,247.38
Waterstones,12,Teen (13-19),The Lost,109,1035.5,434.90999999999997
Waterstones,12,Teen (13-19),Ladies Night,126,1197.0,502.74
Waterstones,12,Teen (13-19),Joyride,166,1577.0,662.34
Waterstones,12,Teen (13-19),Stranglehold,199,1890.5,794.01
Waterstones,12,Young Adult (20-35),The Girl Next Door,58,551.0,231.42
Waterstones,12,Young Adult (20-35),Off Season,30,285.0,119.69999999999999
Waterstones,12,Young Adult (20-35),Offspring,170,1615.0,678.3
Waterstones,12,Young Adult (20-35),Red,57,541.5,227.42999999999998
Waterstones,12,Young Adult (20-35),The Lost,31,294.5,123.69
Waterstones,12,Young Adult (20-35),Ladies Night,64,608.0,255.35999999999999
Waterstones,12,Young Adult (20-35),Joyride,146,1387.0,582.54
Waterstones,12,Young Adult (20-35),Stranglehold,48,456.0,191.51999999999998
Waterstones,12,Adult (36-55),The Girl Next Door,161,1529.5,642.39
Waterstones,12,Adult (36-55),Off Season,148,1406.0,590.52
Waterstones,12,Adult (36-55),Offspring,104,988.0,414.96
Waterstones,12,Adult (36-55),Red,95,902.5,379.05
Waterstones,12,Adult (36-55),The Lost,120,1140.0,478.79999999999995
Waterstones,12,Adult (36-55),Ladies Night,98,931.0,391.02
Waterstones,12,Adult (36-55),Joyride,26,247.0,103.74
Waterstones,12,Adult (36-55),Stranglehold,30,285.0,119.69999999999999
Waterstones,12,Older Adult (56+),The Girl Next Door,58,551.0,231.42
Waterstones,12,Older Adult (56+),Off Season,196,1862.0,782.04
Waterstones,12,Older Adult (56+),Offspring,53,503.5,211.47
Waterstones,12,Older Adult (56+),Red,119,1130.5,474.81
Waterstones,12,Older Adult (56+),The Lost,115,1092.5,458.84999999999997
Waterstones,12,Older Adult (56+),Ladies Night,196,1862.0,782.04
Waterstones,12,Older Adult (56+),Joyride,89,845.5,355.11
Waterstones,12,Older Adult (56+),Stranglehold,59,560.5,235.41
Waterstones,13,Teen (13-19),The Girl Next Door,108,1026.0,430.91999999999996
Waterstones,13,Teen (13-19),Off Season,87,826.5,347.13
Waterstones,13,Teen (13-19),Offspring,150,1425.0,598.5
Waterstones,13,Teen (13-19),Red,88,836.0,351.12
Waterstones,13,Teen (13-19),The Lost,166,1577.0,662.34
Waterstones,13,Teen (13-19),Ladies Night,127,1206.5,506.72999999999996
Waterstones,13,Teen (13-19),Joyride,36,342.0,143.64
Waterstones,13,Teen (13-19),Stranglehold,156,1482.0,622.4399999999999
Waterstones,13,Young Adult (20-35),The Girl Next Door,70,665.0,279.3
Waterstones,13,Young Adult (20-35),Off Season,88,836.0,351.12
Waterstones,13,Young Adult (20-35),Offspring,63,598.5,251.37
Waterstones,13,Young Adult (20-35),Red,53,503.5,211.47
Waterstones,13,Young Adult (20-35),The Lost,64,608.0,255.35999999999999
Waterstones,13,Young Adult (20-35),Ladies Night,148,1406.0,590.52
Waterstones,13,Young Adult (20-35),Joyride,59,560.5,235.41
Waterstones,13,Young Adult (20-35),Stranglehold,23,218.5,91.77
Waterstones,13,Adult (36-55),The Girl Next Door,93,883.5,371.07
Waterstones,13,Adult (36-55),Off Season,129,1225.5,514.71
Waterstones,13,Adult (36-55),Offspring,80,760.0,319.2
Waterstones,13,Adult (36-55),Red,133,1263.5,530.67
Waterstones,13,Adult (36-55),The Lost,190,1805.0,758.1
Waterstones,13,Adult (36-55),Ladies Night,94,893.0,375.06
Waterstones,13,Adult (36-55),Joyride,168,1596.0,670.3199999999999
Waterstones,13,Adult (36-55),Stranglehold,21,199.5,83.78999999999999
Waterstones,13,Older Adult (56+),The Girl Next Door,134,1273.0,534.66
Waterstones,13,Older Adult (56+),Off Season,106,1007.0,422.94
